Description             ;   VampirTrace ; Score-P

Supported platforms

IBM BlueGene            ;   yes (L/P)   ; yes (L not tested)
Cray XT                 ;   yes         ; no (in 1.2)
Linux IBM AIX           ;   yes         ;
IBM SP & BladeCenter    ;   maybe (not tested) ; yes
SGI                     ;   yes         ; yes
Sun                     ;   yes         ; yes
Mac OS X                ;   yes         ; partially (OTF2, not fully tested)
NEC SX series           ;   yes         ; no (last known issue: compiler dies on our code)
ARM                     ;   no          ; 1.1

Source instrumentation

Compiler

GNU                     ;   yes         ; yes
IBM                     ;   yes         ; yes
Intel                   ;   yes         ; yes (tested version >=10)
SUN/Orcale              ;   yes         ; yes (tested version 12.2)
PathScale               ;   yes         ; no
PGI                     ;   yes         ; yes (tested version 10.1)
NEC SX                  ;   yes         ; no
OpenUH                  ;   yes         ; no (GNU compatible?)
Cray CCE                ;   yes         ; no

Manual

functions/regions       ;   yes         ; yes
user defined counter    ;   yes         ; yes
user defined marker     ;   yes         ; no
user defined comm.      ;   yes         ; no
user defined comments   ;   yes         ; no

OpenMP                  ;   yes (OPARI1); yes (OpenMP 3.0, OPARI2)

Binary instrumentation  ;   yes         ; yes (cobi)

PDT                     ;   yes         ; yes

Runtime

MPI                     ;   yes         ; yes
MPI correctness check   ;   yes         ; no
MPI wait-time profiling ;               ; yes
Pthreads                ;   yes         ; no (in 1.2)
Java                    ;   yes         ; no
NVIDIA CUDA             ;   yes         ; yes
OpenCL                  ;   yes         ; no
3rd party libs          ;   yes         ; no
External counter        ;   yes         ; no
Async. counter          ;   yes         ; (yes)

Operating System

Resource Usage          ;   yes         ; yes
Memory allocation       ;   yes         ; no
Fork/system/exec        ;   yes         ; no


Hardware

Performance Counter

PAPI                    ;   yes         ; yes
Sun CPC                 ;   yes         ; no
NEC SX                  ;   yes         ; no

I/O                     ;   yes         ; no
CPU ID                  ;   yes         ; no

Management

Filtering               ;   yes         ; yes
Grouping                ;   yes         ; not needed, maybe handle directly in vampir
Rewind                  ;   yes         ; yes
Selective tracing       ;   yes (VT_ON/OFF) ; yes



Scalable unification    ;  no           ; yes
Matched messages        ;  yes          ; no
Periscope Online Access ;  no           ; yes


Storage

Aggregated event files  ; yes (IOFSL)   ; yes (SIONLIB for MPI programms)
